replicate,mean,median
0,-0.09076363276488433,0.10195863565339074
1,-0.2103569072251273,-0.3881618360852816
2,0.7954165035387045,0.2002639081122788
3,-0.015305368361383695,-0.029246740313609403
4,-0.0816478222136395,0.1154458525037454
5,0.6722946825851837,-0.003173885753958461
6,0.17726754596384897,0.21650766596532317
7,-0.47466666665794804,-0.05334312900174924
8,-0.14247061946115447,0.03135142915370745
9,-0.24243580976183682,0.14685789306458766
10,-0.5635179945179452,-0.23064258088465783
11,-0.44956795218443474,-0.08428674625111315
12,0.5614149680199277,0.18248182329311913
13,0.8160806766491292,0.33908321021041454
14,-0.48299489027103976,-0.19914227194160422
15,0.8942842483234719,0.22707131987158113
16,0.5929012589384479,-0.15936669133456297
17,0.4996996306184925,0.32706077334906
18,-0.20287958315120813,-0.21390182663075827
19,0.8849660214531341,0.2195770844382764
20,-0.7294076578876738,-0.033854561429651556
21,-0.06166735073568599,0.00438480857704595
22,-0.008757161795673691,0.022433296748152934
23,0.06419721431987083,0.007294504910097048
24,0.016795928362131774,-0.023568970324831014
25,0.061496533438353713,0.14282755496440594
26,0.8679409253962358,0.028949074103136144
27,0.7525339675103355,0.09989489402563234
28,1.0011524483959775,-0.05599129889544842
29,0.5717037896569073,0.1685722710228445
30,0.4613551181718687,-0.15034321044574567
31,0.1096463328338688,0.1392626446839525
32,-1.0180822322248246,-0.37014052739903236
33,-0.191774955867133,0.17155316338866386
34,0.8522953967928356,0.21804585335698395
35,-0.9633868401966346,-0.28808374905352596
36,0.3585815021844133,0.20686753154121318
37,-0.6275419175047949,0.09690566954918332
38,0.6302657003587395,0.26464794862612195
39,-0.28863489471945897,0.22897060824206883
40,0.23570519329616868,0.1878493792102598
41,-0.0877930225196503,-0.09504143809287519
42,-0.24034007546487085,0.0163770072493667
43,0.5507085062188689,-0.13271331921879273
44,0.06675978453745902,-0.11314809601319759
45,0.14158215903053617,0.0811737714119594
46,0.22152770297730506,0.10555551049765424
47,-0.5114239104400569,0.10373297800026353
48,-0.18792410799572057,-0.2340538321718989
49,0.17990701137019952,-0.11713737614276779
50,0.3291193368224217,-0.2699485505663168
51,0.17312289175758364,0.14991060269202394
52,-1.15292092897471,-0.3243990980759982
53,-0.45509430412187074,-0.15080917594429472
54,-0.15636069785273854,-0.009093827394291265
55,0.13015640121927685,0.09777882624684164
56,-0.2919893899598225,-0.17209539115798156
57,-0.17388141033078397,-0.41102983085779715
58,-0.14973321928549713,-0.13707838025702113
59,-0.5870809147778963,-0.1605553270072677
60,-0.011990929074522351,0.053867015834589194
61,-0.23625764665683754,0.1285764481603768
62,0.5067187016638376,0.14228815361137
